Dataset,Silhouette_Score,Boundary_Type
'breast-cancer-wisc-prog',0.00042484272409697924,Blended
'hepatitis',0.10062419118298513,Blended
'parkinsons',0.076351297883427,Blended
'spectf',0.01221502823071661,Blended
'wine',0.15660255528390163,Blended
'cervical-cancer',0.13369228698008956,Blended
'climate-model-simulation-crashes',0.03837250771104806,Blended
'colposcopies',0.08307310587499678,Blended
'glass-id',0.3564871902628959,Blended
'las-vegas-trip',0.0006429647271279316,Blended
'mesothelioma',0.03720071679681495,Blended
'student-performance',0.0002466158468379167,Blended
'statlog-heart-2',0.10366545821487702,Blended
'breast-cancer-2',0.043263523138975524,Blended
'heart-hungarian-2',0.13575440809462241,Blended
'horse-colic-2',0.024614926904319937,Blended
'cylinder-bands-2',0.030252309465775375,Blended
'credit-approval-2',0.06931905169754399,Blended
'statlog-australian-credit-2',0.001956798861809781,Blended
'tic-tac-toe',0.018202147657725216,Blended
'statlog-german-credit-2',0.020102354928434523,Blended
'acute-nephritis',0.3245408472942399,Blended
'acute-inflammation',0.27180580616878786,Blended
'echocardiogram',0.1673530967663524,Blended
'planning',-0.010766288412218713,Blended
'conn-bench-sonar-mines-rocks',0.03533804916442655,Blended
'spect',0.047572484949666705,Blended
'statlog-heart-1',0.08677962418799999,Blended
'breast-cancer-wang',0.005338068574045304,Blended
'breast-cancer-1',0.03414522675326977,Blended
'heart-hungarian-1',0.1362190375590052,Blended
'breast-cancer-nki',0.014971485232716313,Blended
'haberman-survival',0.06910615764252054,Blended
'vertebral-column-2clases',0.06945519359677708,Blended
'ionosphere',0.16445034534774583,Blended
'horse-colic-1',-0.002978966022092583,Blended
'congressional-voting',-0.01247822409090846,Blended
'cylinder-bands-1',0.03909301548474099,Blended
'breast-cancer-wisc-diag',0.2940652877765167,Blended
'ilpd-indian-liver',-0.04001915127191956,Blended
'credit-approval-1',0.1322207113560018,Blended
'statlog-australian-credit-1',-0.002021654080816934,Blended
'breast-cancer-wisc',0.5624947607098796,Clear Boundary
'pima',0.09207917972300533,Blended
'oocytes-trisopterus-nucleus-2f',0.006190213640110801,Blended
'mammographic',0.1170846301540312,Blended
'statlog-german-credit-1',0.021019887599762303,Blended
'oocytes-merluccius-nucleus-4d',0.004726763561954167,Blended
'hill-valley',0.00011490572763973031,Blended
'banknote-authentication',0.20093475663319574,Blended
'breast-cancer-coimbra',0.0234192429093873,Blended
'cervical-cancer-behaviour-risk',0.138525960897108,Blended
'iranian-churn-dataset',0.08865472023153813,Blended
'seed-1',0.4122911503282305,Clear Boundary
'seed-2',0.36112273028044534,Blended
'seed-3',0.5934621680750349,Clear Boundary
'adult-dataset',0.1226976370296797,Blended
'the-mammography-dataset',0.45401157186917,Clear Boundary
'the-oil-dataset',0.08394397243314722,Blended
'phoneme-dataset',0.08726303897784982,Blended
'the-forest-cover-dataset',0.11449784536537232,Blended
'pima-indian-not-normalized',0.09207917618719058,Blended
